x,y,u,v,state,changed
47.71,-13.96,0.00,0.00,nonconfident_right,0
-0.66,13.39,-3.93,-4.16,nonconfident_right,1
33.85,1.75,-28.07,3.33,nonconfident_wrong,1
21.76,-1.75,-43.38,19.62,nonconfident_wrong,1
37.93,-5.48,-30.53,11.98,nonconfident_wrong,1
34.45,-1.99,-32.76,15.85,nonconfident_wrong,1
31.17,12.09,-34.44,4.25,nonconfident_wrong,1
49.67,-20.12,0.00,0.00,nonconfident_wrong,0
32.96,-12.70,0.00,0.00,overconfident_wrong,0
33.40,4.80,-27.62,13.41,overconfident_wrong,1
17.65,0.01,-1.38,-5.30,nonconfident_right,1
-0.57,7.05,-12.32,6.47,nonconfident_wrong,1
-1.45,14.52,-5.66,-0.08,nonconfident_wrong,1
47.00,-15.76,0.00,0.00,confident_right,0
44.70,-26.83,0.00,0.00,nonconfident_right,0
16.89,4.27,-25.44,8.92,nonconfident_wrong,1
39.60,-15.83,0.00,0.00,confident_right,0
37.01,-18.56,0.00,0.00,confident_right,0
14.00,-11.83,0.00,0.00,nonconfident_wrong,0
28.42,0.98,-19.43,-11.15,nonconfident_right,1
28.82,-1.71,-28.52,14.08,overconfident_wrong,1
35.75,-9.86,-43.42,22.28,confident_right,1
16.96,-2.89,-19.63,9.81,confident_right,1
-4.14,6.92,0.11,-1.48,nonconfident_wrong,1
17.33,7.74,-16.33,-2.46,nonconfident_right,1
36.33,-3.59,-38.42,14.69,confident_right,1
33.43,-0.91,-40.72,17.38,confident_right,1
25.00,0.38,-18.59,1.07,overconfident_wrong,1
37.92,-12.56,0.00,0.00,nonconfident_right,0
53.19,-20.57,0.00,0.00,nonconfident_wrong,0
36.87,-12.75,0.00,0.00,confident_right,0
36.85,-8.78,1.30,-7.03,overconfident_wrong,1
41.99,0.09,-36.76,3.46,nonconfident_wrong,1
10.67,11.42,-6.74,-10.56,nonconfident_wrong,1
48.38,-8.93,-53.84,16.36,confident_right,1
10.06,4.79,-17.85,2.23,nonconfident_right,1
31.44,13.06,-23.48,-13.07,nonconfident_wrong,1
23.19,2.64,-17.03,-5.53,nonconfident_right,1
32.12,-6.90,-26.33,11.37,confident_right,1
39.34,-7.20,-35.92,9.20,nonconfident_wrong,1
39.49,11.68,-28.28,-13.61,overconfident_wrong,1
34.99,3.27,-39.88,6.31,overconfident_wrong,1
